陀螺X(弧度),陀螺Y(弧度),陀螺Z(弧度),加速度X(mg),加速度Y(mg),加速度Z(mg),滚动角(度),俯仰角(度),航向角(度)
0.04124,0.00000,-0.00354,39.62913,101.88170,-1038.19900,-5.16843,1.02737,76.93816
0.04126,-0.13120,-0.00525,34.66098,99.71341,-1039.67600,-5.07891,0.80663,77.06970
0.04126,0.00000,-0.00525,34.66098,99.71341,-1039.67600,-5.07891,0.80663,77.06970
0.04126,0.00000,-0.00525,34.66098,99.71341,-1039.67600,-5.07891,0.80663,77.06970
0.03753,-0.13596,-0.00712,28.99629,97.37386,-1042.88800,-4.99984,0.44945,77.19511
0.03753,0.94640,-0.00712,28.99629,97.37386,-1042.88800,-4.99984,0.44945,77.19511
0.03522,-0.13801,-0.00710,21.96263,97.09582,-1041.77300,-4.94367,-0.01668,77.32903
0.03522,0.95570,-0.00710,21.96263,97.09582,-1041.77300,-4.94367,-0.01668,77.32903
0.04022,-0.13568,-0.00434,14.43869,96.40027,-1041.92900,-4.82521,-0.37516,77.51456
0.04022,0.00000,-0.00434,14.43869,96.40027,-1041.92900,-4.82521,-0.37516,77.51456
0.04022,0.00000,-0.00434,14.43869,96.40027,-1041.92900,-4.82521,-0.37516,77.51456
0.04533,-0.14225,-0.00581,6.52027,93.93477,-1043.44700,-4.69750,-0.80472,77.64877
0.04533,0.99200,-0.00581,6.52027,93.93477,-1043.44700,-4.69750,-0.80472,77.64877
0.04735,-0.13494,-0.00666,-1.78424,90.90275,-1042.99500,-4.58067,-1.13116,77.78098
0.04735,0.00000,-0.00666,-1.78424,90.90275,-1042.99500,-4.58067,-1.13116,77.78098
0.04735,0.00000,-0.00666,-1.78424,90.90275,-1042.99500,-4.58067,-1.13116,77.78098
0.04580,0.00000,-0.00591,-6.18479,89.26525,-1044.42000,-4.47997,-1.33855,77.91536
0.04580,0.00000,-0.00591,-6.18479,89.26525,-1044.42000,-4.47997,-1.33855,77.91536
0.04176,0.97360,-0.00795,-12.39989,86.86870,-1044.41700,-4.41386,-1.56458,78.01109
0.04176,0.97360,-0.00795,-12.39989,86.86870,-1044.41700,-4.41386,-1.56458,78.01109
0.03991,-0.09805,-0.00826,-16.63242,84.46348,-1045.40600,-4.31994,-1.75548,78.10844
0.03991,0.00000,-0.00826,-16.63242,84.46348,-1045.40600,-4.31994,-1.75548,78.10844
0.03991,0.00000,-0.00826,-16.63242,84.46348,-1045.40600,-4.31994,-1.75548,78.10844
0.03875,-0.09561,-0.00893,-21.56650,84.97838,-1046.07900,-4.26797,-1.99415,78.23866
0.03875,-0.09561,-0.00893,-21.56650,84.97838,-1046.07900,-4.26797,-1.99415,78.23866
0.04106,0.97760,-0.00933,-25.81725,83.82142,-1044.12500,-4.17813,-2.24742,78.35561
0.04106,0.97760,-0.00933,-25.81725,83.82142,-1044.12500,-4.17813,-2.24742,78.35561
0.04106,0.97760,-0.00933,-25.81725,83.82142,-1044.12500,-4.17813,-2.24742,78.35561
0.04069,0.00000,-0.01116,-30.38048,82.68816,-1043.58200,-4.10297,-2.41220,78.46432
0.04069,0.00000,-0.01116,-30.38048,82.68816,-1043.58200,-4.10297,-2.41220,78.46432
0.04307,-0.08493,-0.01213,-32.82389,81.26955,-1043.02600,-4.00782,-2.60267,78.58669
